"","logFC","AveExpr","t","P.Value","adj.P.Val","B","geneid"
"tim",-1.5244220028436,6.29122118268765,-27.6306774378156,1.05939755005779e-13,1.61452186628808e-09,21.6415509759037,"tim"
"Cpr92F",2.49888297443874,6.19725844327099,25.9288393575261,2.55913457533321e-13,1.9500605464039e-09,20.809652961486,"Cpr92F"
"twi",-1.78270070594158,4.25784644230769,-23.6410560083361,9.18228878737022e-13,4.66460270398407e-09,19.4689184423739,"twi"
"Vajk3",1.62966603734382,4.0247652794107,21.7948617059974,2.81465157577803e-12,9.01518975448929e-09,18.4289338036432,"Vajk3"
"lncRNA:CR46017",-3.99390588926781,1.03948985809001,-21.3321317450666,3.77983646973638e-12,9.01518975448929e-09,15.0657983754322,"lncRNA:CR46017"
"CG18493",-1.19963751909536,5.71708979407303,-21.2202764896509,4.06274396866552e-12,9.01518975448929e-09,18.212710901798,"CG18493"
"mRpL9",1.30122312020254,4.08926217176513,21.1908639078933,4.14083518906988e-12,9.01518975448929e-09,18.0935610207763,"mRpL9"
"CG7214",2.20828080009115,7.94114824925926,21.1320439417257,6.58087522434107e-12,1.25365673023697e-08,17.7497116014354,"CG7214"
"Acp1",2.23602341242084,7.63360936337604,20.8163983471426,1.08323162823698e-11,1.83427222381461e-08,17.2774788419607,"Acp1"
"lncRNA:CR43440",-1.82833475435545,1.85776762687431,-18.7284566959517,2.24195372892105e-11,3.41673748287568e-08,15.7859213337964,"lncRNA:CR43440"
"CG40472",2.31462264069617,5.52821065684218,19.9251424617591,3.05264467662797e-11,4.22930044289185e-08,16.276760798167,"CG40472"
"Acyp",2.55419620186123,3.81302620077353,18.6841572794281,4.48114345212381e-11,5.69105218419724e-08,15.7865486863819,"Acyp"
"PPO1",-1.65589307550402,4.55009555228017,-17.2340373424817,6.93171349793298e-11,8.1261010544999e-08,15.4219726453074,"PPO1"
"CG12998",3.78038008045484,-0.135427930098812,17.0009272559572,8.33307951789524e-11,9.07115227519453e-08,11.9224680799471,"CG12998"
"Scp1",1.33089425171222,9.53431184203862,16.8782880963956,9.18920259580826e-11,9.20765574385872e-08,15.1497060674706,"Scp1"
"CG13309",-0.978586882642438,6.51465052278335,-16.8150625511925,9.6668301772795e-11,9.20765574385872e-08,15.0982955452875,"CG13309"
"Cpr62Bc",1.95496721653661,2.9874369605694,16.6031229340882,1.14711061312186e-10,1.0283509261163e-07,14.7930778751045,"Cpr62Bc"
"CG18609",-1.30671234036962,6.1864177268575,-16.5182628474568,1.22915138491152e-10,1.04068150589176e-07,14.8585583805531,"CG18609"
"Cpr76Bd",1.26800380974515,4.44087874993006,16.2503158271968,1.53199557005166e-10,1.22882170987301e-07,14.6425657342948,"Cpr76Bd"
"CG4607",-1.33781879548951,5.67449836580363,-15.9611354085955,1.95031284620931e-10,1.48613838881149e-07,14.3984615563963,"CG4607"
"CG3739",-2.95888523071533,6.5101363772882,-19.5001489451203,2.78445009481375e-10,2.02071521166483e-07,14.1895100947894,"CG3739"
"CG15533",-1.43730278724152,4.316344285917,-15.4855965703808,2.9261615662493e-10,2.02703192134724e-07,14.0012188329929,"CG15533"
"CG15263",-2.0797817380022,3.48507269067526,-15.4806065213365,3.3005427248421e-10,2.1869683098519e-07,13.8547123685452,"CG15263"
"y",2.98556121562137,0.374548785907196,15.1140823046096,4.04908401634724e-10,2.5711683503805e-07,12.0350176998964,"y"
"CG14013",1.45351840356205,4.70907366085538,15.0216852489937,4.39459315908956e-10,2.66603009037762e-07,13.5934986927066,"CG14013"
"CG13313",-3.00406977183954,0.805137965959381,-14.9830318451807,4.5483452985445e-10,2.66603009037762e-07,12.2636559113108,"CG13313"
"CG30427",0.684033428576382,6.59571885174666,14.796920050069,5.37335317636304e-10,3.03295934843603e-07,13.3687359241361,"CG30427"
"Vajk2",1.54903261477245,3.82623157103692,14.4217918055672,7.56212625594272e-10,4.11595729073454e-07,13.0597643226717,"Vajk2"
"ftz",-2.23933018146756,0.656746076479828,-14.3761609698376,7.88727525699653e-10,4.14489913505611e-07,11.8809646947253,"ftz"
"lectin-37Db",1.63135443805822,3.86634775644162,14.1209613947115,1.00029801751268e-09,5.08151392896444e-07,12.7828258339567,"lectin-37Db"
"mthl14",-1.03056099246321,3.75815159210704,-14.0072934634805,1.11333027456789e-09,5.47327528529504e-07,12.676603891256,"mthl14"
"mia",-0.851222011317231,3.51506286008306,-13.8748501677072,1.26245649717373e-09,6.01244906778989e-07,12.5521669086714,"mia"
"CAH5",1.19235204456847,2.77029998335177,13.4283826020253,1.94380038016477e-09,8.66799018741241e-07,12.1075745341569,"CAH5"
"Mlc2",0.809031020742915,11.7946200066572,13.4203332955932,1.95920641600682e-09,8.66799018741241e-07,12.1113364120527,"Mlc2"
"PPO2",-1.3713194290914,5.51692886673548,-13.5207514417069,1.99068016115114e-09,8.66799018741241e-07,12.0624835049962,"PPO2"
"Hsp83",0.689457739536703,9.29971732005708,13.3011824233963,2.20313057639646e-09,9.32658610674502e-07,11.9651555751972,"Hsp83"
"Ance-5",-1.3267758978632,4.69671398599941,-13.1178832927773,2.64368134434249e-09,1.08891091048053e-06,11.787063074046,"Ance-5"
"CG34327",1.56470106612644,3.55189865697409,13.0080895981107,2.95179531329112e-09,1.15470889360187e-06,11.7101324945668,"CG34327"
"lncRNA:CR43387",2.8235173507484,0.193605224887927,13.007025031064,2.95496370409927e-09,1.15470889360187e-06,10.6173001244568,"lncRNA:CR43387"
"CG7322",-1.25080673157552,5.70651088950893,-12.8903569372678,3.36763340571939e-09,1.27245891836313e-06,11.5126502963228,"CG7322"
"CG9514",1.2413110011095,3.33407663496106,12.8617445595338,3.42328186698742e-09,1.27245891836313e-06,11.5645830321962,"CG9514"
