"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cpr92F",2.46608995874064,6.19725844327099,23.331170947701,7.76545522328681e-13,1.18345537602891e-08,19.7817261209059
"Vajk3",1.6715090775463,4.0247652794107,21.5463096088908,2.36767502301324e-12,1.80416836753609e-08,18.6079135532971
"CG7214",2.19308180700532,7.94114824925926,20.0516016207145,6.4541282353718e-12,3.27869714356888e-08,17.752594608024
"lncRNA:CR46017",-3.97539015600673,1.03948985809001,-19.1274446770708,1.24331569067647e-11,4.61568752205832e-08,14.8069864581832
"CG3739",-2.87361520777503,6.5101363772882,-20.1061454270877,1.51433317652832e-11,4.61568752205832e-08,16.9443444132434
"CG12998",3.80492387391839,-0.135427930098812,17.6287267044345,3.84308465979406e-11,9.76143503587692e-08,12.8887654354541
"Acp1",2.2229100483516,7.63360936337604,17.3534055498649,6.7650527686731e-11,1.19571469203872e-07,15.4594655050371
"Acyp",2.58041516044565,3.81302620077353,17.0805627615619,6.80689643900503e-11,1.19571469203872e-07,15.3939929377304
"twi",-1.77202075865514,4.25784644230769,-16.8663166171072,7.06130723644912e-11,1.19571469203872e-07,15.3848982494035
"mRpL9",1.2912652748004,4.08926217176513,16.0046966391242,1.44834765686417e-10,2.20728182906099e-07,14.6821847326205
"CG40472",2.33199274057987,5.52821065684218,16.3745941122973,2.11308085017401e-10,2.92757746878653e-07,14.3471122676817
"Cpr62Bc",1.98601920433397,2.9874369605694,15.093013944106,3.22031670311167e-10,4.08980221295182e-07,13.8360991221457
"PPO1",-1.6500311318093,4.55009555228017,-14.9185068662227,3.77092450437786e-10,4.42068380359373e-07,13.7335907191035
"CG14013",1.48107071174811,4.70907366085538,14.7546473244181,4.37990482942448e-10,4.50621213547883e-07,13.579893650857
"CG18609",-1.25866485425416,6.1864177268575,-14.740976352265,4.43524816484137e-10,4.50621213547883e-07,13.5489014228154
"tim",-1.57395894548405,6.29122118268765,-14.4356715142036,5.88680271440482e-10,5.60717958547059e-07,13.2631596797919
"CG9514",1.31328399436815,3.33407663496106,14.2114135149487,7.27218730838341e-10,6.51930203410372e-07,13.0814982115306
"CG4607",-1.30531961025157,5.67449836580363,-14.0788639009774,8.25114208557068e-10,6.98596696578318e-07,12.9254934665524
"CG15263",-2.0856299138371,3.48507269067526,-13.7380801899711,1.14716491885923e-09,9.12063117229287e-07,12.6312625104249
"Vajk2",1.5736227999467,3.82623157103692,13.6946864085096,1.19693322471035e-09,9.12063117229287e-07,12.5893230140583
